Second,CH1,CH2
+7.000000E-07,-2.000004E-02,-6.000000E-03
+7.020000E-07,-2.000004E-02,-6.000000E-03
+7.040000E-07,-2.000004E-02,-6.000000E-03
+7.060000E-07,-2.000004E-02,-6.000000E-03
+7.080000E-07,-2.000004E-02,-6.000000E-03
+7.100000E-07,-2.000004E-02,-6.000000E-03
+7.120000E-07,-6.000012E-02,-7.999999E-03
+7.140000E-07,-6.000012E-02,-7.999999E-03
+7.160000E-07,-6.000012E-02,-1.000000E-02
+7.180000E-07,-2.000004E-02,-1.000000E-02
+7.200000E-07,-2.000004E-02,-1.000000E-02
+7.220000E-07,-2.000004E-02,-1.000000E-02
+7.240000E-07,-2.000004E-02,-1.000000E-02
+7.260000E-07,-2.000004E-02,-1.000000E-02
+7.280000E-07,-2.000004E-02,-1.000000E-02
+7.300000E-07,+2.000004E-02,-7.999999E-03
+7.320000E-07,-2.000004E-02,-7.999999E-03
+7.340000E-07,-2.000004E-02,-7.999999E-03
+7.360000E-07,-2.000004E-02,-7.999999E-03
+7.380000E-07,-2.000004E-02,-7.999999E-03
+7.400000E-07,-2.000004E-02,-7.999999E-03
+7.420000E-07,-2.000004E-02,-6.000000E-03
+7.440000E-07,-2.000004E-02,-6.000000E-03
+7.460000E-07,-2.000004E-02,-6.000000E-03
+7.480000E-07,-2.000004E-02,-6.000000E-03
+7.500000E-07,-2.000004E-02,-4.000000E-03
+7.520000E-07,-6.000012E-02,-6.000000E-03
+7.540000E-07,-6.000012E-02,-6.000000E-03
+7.560000E-07,-6.000012E-02,-6.000000E-03
+7.580000E-07,-6.000012E-02,-6.000000E-03
+7.600000E-07,-6.000012E-02,-7.999999E-03
+7.620000E-07,-6.000012E-02,-7.999999E-03
+7.640000E-07,-6.000012E-02,-7.999999E-03
+7.660000E-07,-6.000012E-02,-7.999999E-03
+7.680000E-07,-6.000012E-02,-7.999999E-03
+7.700000E-07,-2.000004E-02,-7.999999E-03
+7.720000E-07,-2.000004E-02,-1.000000E-02
+7.740000E-07,-2.000004E-02,-1.000000E-02
+7.760000E-07,-2.000004E-02,-1.000000E-02
+7.780000E-07,-2.000004E-02,-1.000000E-02
+7.800000E-07,-2.000004E-02,-1.000000E-02
+7.820000E-07,-2.000004E-02,-1.000000E-02
+7.840000E-07,-2.000004E-02,-7.999999E-03
+7.860000E-07,-2.000004E-02,-7.999999E-03
+7.880000E-07,-2.000004E-02,-7.999999E-03
+7.900000E-07,+2.000004E-02,-6.000000E-03
+7.920000E-07,+2.000004E-02,-6.000000E-03
+7.940000E-07,+2.000004E-02,-6.000000E-03
+7.960000E-07,+2.000004E-02,-6.000000E-03
+7.980000E-07,+2.000004E-02,-6.000000E-03
+8.000000E-07,+2.000004E-02,-6.000000E-03
+8.020000E-07,+2.000004E-02,-6.000000E-03
+8.040000E-07,+2.000004E-02,-6.000000E-03
+8.060000E-07,+2.000004E-02,-6.000000E-03
+8.080000E-07,+5.999982E-02,-6.000000E-03
+8.100000E-07,+5.999982E-02,-6.000000E-03
+8.120000E-07,+2.000004E-02,-7.999999E-03
+8.140000E-07,+2.000004E-02,-7.999999E-03
+8.160000E-07,+2.000004E-02,-7.999999E-03
+8.180000E-07,+2.000004E-02,-1.000000E-02
